2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52316 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52313 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52315 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52312 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52307 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52311 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52310 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52306 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52304 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52309 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52308 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.06ms |     [::1]:52305 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52319 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52320 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.02ms |     [::1]:52322 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52321 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52331 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52329 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.02ms |     [::1]:52332 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.02ms |     [::1]:52325 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.01ms |     [::1]:52324 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52323 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.05ms |     [::1]:52326 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.04ms |     [::1]:52327 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.04ms |     [::1]:52330 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.04ms |     [::1]:52328 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52334 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52333 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52335 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.02ms |     [::1]:52336 | GET /api/cache
2024/08/31 22:35:15 | 200 |   0.00ms |     [::1]:52338 | GET /api/cache
